map,t1_avg_elo,t1_elo_std,t1_min_elo,t1_max_elo,t1_avg_kd,t1_avg_hs_pct,t1_avg_win_rate,t1_avg_matches,t1_avg_level,t2_avg_elo,t2_elo_std,t2_min_elo,t2_max_elo,t2_avg_kd,t2_avg_hs_pct,t2_avg_win_rate,t2_avg_matches,t2_avg_level,elo_diff,kd_diff,wr_diff,team1_win,score_diff,elo_ratio,kd_ratio,experience_ratio,elo_total,elo_spread_diff,hs_diff,level_diff,t1_consistency,t2_consistency
de_ancient,2690.866213431364,90.9,2613.466213431364,2824.466213431364,1.128,48.0,52.0,1519.0,10.0,2670.466213431364,156.62,2548.466213431364,2935.466213431364,1.124,45.0,51.6,2433.2,10.0,20.40000000000009,0.004,0.4,1,9.0,1.0076391155586977,1.0035587188612098,0.6242807825086306,5361.3324268627275,-65.72,3.0,0.0,0.010881392818280738,0.00634437254155564
de_inferno,2792.2358690923443,101.46,2636.0358690923445,2880.0358690923445,1.114,50.6,52.0,1717.2,10.0,2749.8358690923446,204.17,2582.0358690923445,3087.0358690923445,1.136,52.4,51.6,2039.0,10.0,42.399999999999636,-0.022,0.4,1,8.0,1.0154191020913532,0.9806338028169016,0.8421775380088279,5542.071738184689,-102.71,-1.7999999999999972,0.0,0.009759906304899474,0.004874006921089828
de_mirage,2629.5074311057133,103.61,2505.9074311057134,2739.9074311057134,1.188,50.0,52.6,2312.0,10.0,2672.7074311057136,119.56,2508.9074311057134,2830.9074311057134,1.106,48.2,51.2,3455.2,10.0,-43.20000000000027,0.082,1.4,1,3.0,0.9838366147011728,1.074141048824593,0.6691363741606854,5302.214862211427,-15.950000000000003,1.7999999999999972,0.0,0.009559315553006405,0.00829462508294625
de_mirage,2553.018521144309,124.36,2347.218521144309,2671.218521144309,1.104,49.8,51.2,2293.8,10.0,2577.8185211443088,94.0,2508.218521144309,2702.218521144309,1.098,49.0,51.4,1841.0,10.0,-24.799999999999727,0.006,-0.2,1,3.0,0.9903794624033538,1.005464480874317,1.245953286257469,5130.837042288618,30.36,0.7999999999999972,0.0,0.00797702616464582,0.010526315789473684
de_mirage,2645.066213431364,134.25,2516.466213431364,2873.466213431364,1.196,50.6,52.6,1551.6,10.0,2624.6662134313638,82.22,2520.466213431364,2737.466213431364,1.138,54.0,52.2,2892.6,10.0,20.40000000000009,0.058,0.4,0,-2.0,1.0077724168869953,1.0509666080843585,0.536403235843186,5269.732426862727,52.03,-3.3999999999999986,0.0,0.0073937153419593345,0.01201634222542658
de_ancient,2638.254634208902,125.3,2464.6546342089023,2810.6546342089023,1.108,47.6,51.4,1738.0,10.0,2643.0546342089024,127.74,2474.6546342089023,2755.6546342089023,1.066,53.4,51.2,2407.4,10.0,-4.800000000000182,0.042,0.2,1,12.0,0.9981839194930464,1.0393996247654784,0.7219406828944088,5281.309268417805,-2.4399999999999977,-5.799999999999997,0.0,0.007917656373713382,0.007767593599502873
de_mirage,2666.7683082089457,120.6,2505.568308208946,2769.568308208946,1.088,47.8,50.2,5257.4,10.0,2672.7683082089457,121.59,2514.568308208946,2849.568308208946,1.086,46.6,51.2,3243.0,10.0,-6.0,0.002,-1.0,1,3.0,0.9977551365071293,1.0018416206261511,1.6211532531606536,5339.536616417891,-0.9900000000000091,1.1999999999999957,0.0,0.008223684210526315,0.008157272208173586
de_mirage,2774.4390051135233,219.07,2542.2390051135235,3089.2390051135235,1.154,52.6,51.8,2716.4,10.0,2743.2390051135235,129.0,2590.2390051135235,2913.2390051135235,1.138,50.4,52.2,1669.8,10.0,31.199999999999818,0.016,-0.4,1,9.0,1.011373416585956,1.014059753954306,1.6267816504970656,5517.678010227047,90.07,2.200000000000003,0.0,0.004544008724496751,0.007692307692307693
de_dust2,2885.466213431364,80.49,2797.466213431364,2997.466213431364,1.182,52.4,52.0,1521.2,10.0,2865.066213431364,280.74,2516.466213431364,3270.466213431364,1.302,50.2,55.8,1827.2,10.0,20.40000000000009,-0.12,-3.8,0,-5.0,1.0071202542909359,0.9078341013824884,0.8325306479859895,5750.532426862728,-200.25,2.1999999999999957,0.0,0.012271444348999879,0.003549371761198268
de_dust2,2969.0546342089024,131.2,2841.6546342089023,3185.6546342089023,1.2,47.2,51.6,2212.8,10.0,2973.854634208902,178.47,2771.6546342089023,3219.6546342089023,1.176,50.0,53.2,1220.8,10.0,-4.799999999999727,0.024,-1.6,0,-4.0,0.9983859332111313,1.0204081632653061,1.8125819134993448,5942.909268417805,-47.27000000000001,-2.799999999999997,0.0,0.007564296520423602,0.005571961887780688
